[2026-05-03 19:56:28] === SIMPAN oleh admin | IDs: 1,2,3,4,5,6,7,8,9,10
[2026-05-03 19:56:28]   settingID=1 | code='1-1001' | name='Kas Pool Pendanaan'
[2026-05-03 19:56:28]   settingID=2 | code='3-1001' | name='Modal / Dana Pendanaan'
[2026-05-03 19:56:28]   settingID=3 | code='1-2001' | name='Piutang Pendanaan Usaha'
[2026-05-03 19:56:28]   settingID=4 | code='4-1001' | name='Pendapatan Bunga Pendanaan'
[2026-05-03 19:56:28]   settingID=5 | code='4-1002' | name='Pendapatan Denda Pendanaan'
[2026-05-03 19:56:28]   settingID=6 | code='22805' | name='Honorarium Terakru'
[2026-05-03 19:56:28]   settingID=7 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 19:56:28]   settingID=8 | code='22301' | name='Pinjaman TMP SKM < 12 bulan'
[2026-05-03 19:56:28]   settingID=9 | code='22804' | name='Honorarium Anggota Lembaga'
[2026-05-03 19:56:28]   settingID=10 | code='71000' | name='GAJI DAN PERBELANJAAN KAKITANGAN'
[2026-05-03 19:56:39] === SIMPAN oleh admin | IDs: 1,2,3,4,5,6,7,8,9,10
[2026-05-03 19:56:39]   settingID=1 | code='1-1001' | name='Kas Pool Pendanaan'
[2026-05-03 19:56:39]   settingID=2 | code='3-1001' | name='Modal / Dana Pendanaan'
[2026-05-03 19:56:39]   settingID=3 | code='1-2001' | name='Piutang Pendanaan Usaha'
[2026-05-03 19:56:39]   settingID=4 | code='4-1001' | name='Pendapatan Bunga Pendanaan'
[2026-05-03 19:56:39]   settingID=5 | code='4-1002' | name='Pendapatan Denda Pendanaan'
[2026-05-03 19:56:39]   settingID=6 | code='22805' | name='Honorarium Terakru'
[2026-05-03 19:56:39]   settingID=7 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 19:56:40]   settingID=8 | code='22301' | name='Pinjaman TMP SKM < 12 bulan'
[2026-05-03 19:56:40]   settingID=9 | code='22804' | name='Honorarium Anggota Lembaga'
[2026-05-03 19:56:40]   settingID=10 | code='71000' | name='GAJI DAN PERBELANJAAN KAKITANGAN'
[2026-05-03 20:00:06] === SIMPAN oleh admin | IDs: 1,2,3,4,5,6,7,8,9,10
[2026-05-03 20:00:06]   settingID=1 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:00:06]   settingID=2 | code='3-1001' | name='Modal / Dana Pendanaan'
[2026-05-03 20:00:06]   settingID=3 | code='1-2001' | name='Piutang Pendanaan Usaha'
[2026-05-03 20:00:06]   settingID=4 | code='4-1001' | name='Pendapatan Bunga Pendanaan'
[2026-05-03 20:00:06]   settingID=5 | code='4-1002' | name='Pendapatan Denda Pendanaan'
[2026-05-03 20:00:06]   settingID=6 | code='22805' | name='Honorarium Terakru'
[2026-05-03 20:00:06]   settingID=7 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:00:06]   settingID=8 | code='22301' | name='Pinjaman TMP SKM < 12 bulan'
[2026-05-03 20:00:06]   settingID=9 | code='22804' | name='Honorarium Anggota Lembaga'
[2026-05-03 20:00:06]   settingID=10 | code='71000' | name='GAJI DAN PERBELANJAAN KAKITANGAN'
[2026-05-03 20:00:20] === SIMPAN oleh admin | IDs: 1,2,3,4,5,6,7,8,9,10
[2026-05-03 20:00:20]   settingID=1 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:00:20]   settingID=2 | code='22701' | name='SCB Jln Ampang-Ibu Pejabat'
[2026-05-03 20:00:20]   settingID=3 | code='1-2001' | name='Piutang Pendanaan Usaha'
[2026-05-03 20:00:20]   settingID=4 | code='4-1001' | name='Pendapatan Bunga Pendanaan'
[2026-05-03 20:00:20]   settingID=5 | code='4-1002' | name='Pendapatan Denda Pendanaan'
[2026-05-03 20:00:20]   settingID=6 | code='22805' | name='Honorarium Terakru'
[2026-05-03 20:00:20]   settingID=7 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:00:20]   settingID=8 | code='22301' | name='Pinjaman TMP SKM < 12 bulan'
[2026-05-03 20:00:20]   settingID=9 | code='22804' | name='Honorarium Anggota Lembaga'
[2026-05-03 20:00:20]   settingID=10 | code='71000' | name='GAJI DAN PERBELANJAAN KAKITANGAN'
[2026-05-03 20:00:46] === SIMPAN oleh admin | IDs: 1,2,3,4,5,6,7,8,9,10
[2026-05-03 20:00:46]   settingID=1 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:00:46]   settingID=2 | code='22701' | name='SCB Jln Ampang-Ibu Pejabat'
[2026-05-03 20:00:46]   settingID=3 | code='11199' | name='Susutnilai Terkumpul Harta,Tanah,loji dan Peralatan'
[2026-05-03 20:00:46]   settingID=4 | code='4-1001' | name='Pendapatan Bunga Pendanaan'
[2026-05-03 20:00:46]   settingID=5 | code='11712' | name='Projek Dalam Perlaksanaan'
[2026-05-03 20:00:46]   settingID=6 | code='22805' | name='Honorarium Terakru'
[2026-05-03 20:00:46]   settingID=7 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:00:46]   settingID=8 | code='22301' | name='Pinjaman TMP SKM < 12 bulan'
[2026-05-03 20:00:46]   settingID=9 | code='22804' | name='Honorarium Anggota Lembaga'
[2026-05-03 20:00:46]   settingID=10 | code='71000' | name='GAJI DAN PERBELANJAAN KAKITANGAN'
[2026-05-03 20:01:02] === SIMPAN oleh admin | IDs: 1,2,3,4,5,6,7,8,9,10
[2026-05-03 20:01:02]   settingID=1 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:01:02]   settingID=2 | code='22701' | name='SCB Jln Ampang-Ibu Pejabat'
[2026-05-03 20:01:02]   settingID=3 | code='11199' | name='Susutnilai Terkumpul Harta,Tanah,loji dan Peralatan'
[2026-05-03 20:01:02]   settingID=4 | code='4-1001' | name='Pendapatan Bunga Pendanaan'
[2026-05-03 20:01:02]   settingID=5 | code='22803' | name='Dividen Dicadangkan Atas Simpanan'
[2026-05-03 20:01:02]   settingID=6 | code='22805' | name='Honorarium Terakru'
[2026-05-03 20:01:02]   settingID=7 | code='22801' | name='Dividen Dicadangkan Atas Modal Syer'
[2026-05-03 20:01:02]   settingID=8 | code='22301' | name='Pinjaman TMP SKM < 12 bulan'
[2026-05-03 20:01:02]   settingID=9 | code='22804' | name='Honorarium Anggota Lembaga'
[2026-05-03 20:01:02]   settingID=10 | code='71000' | name='GAJI DAN PERBELANJAAN KAKITANGAN'
